timestamp;value
0-0-9-152000;16 
0-0-9-154000;38 
0-0-9-156000;78 
0-0-9-158000;117 
0-0-9-160000;111 
0-0-9-162000;88 
0-0-9-164000;7 
0-0-9-166000;-17 
0-0-9-167000;-48 
0-0-9-169000;-12 
0-0-9-171000;6 
0-0-9-173000;32 
0-0-9-176000;91 
0-0-9-178000;108 
0-0-9-180000;122 
0-0-9-182000;36 
0-0-9-184000;13 
0-0-9-186000;-24 
0-0-9-188000;-37 
0-0-9-190000;-6 
0-0-9-192000;29 
0-0-9-194000;36 
0-0-9-196000;86 
0-0-9-198000;108 
0-0-9-200000;112 
0-0-9-202000;62 
0-0-9-204000;-13 
0-0-9-206000;-23 
0-0-9-208000;-32 
0-0-9-210000;-42 
0-0-9-212000;10 
0-0-9-224000;8 
0-0-9-226000;0 
0-0-9-228000;-47 
0-0-9-230000;-7 
0-0-9-232000;-21 
0-0-9-234000;55 
0-0-9-236000;90 
0-0-9-238000;81 
0-0-9-240000;80 
0-0-9-242000;46 
0-0-9-245000;-6 
0-0-9-247000;-25 
0-0-9-249000;-54 
0-0-9-250000;-23 
0-0-9-252000;18 
0-0-9-254000;33 
0-0-9-256000;110 
0-0-9-258000;117 
0-0-9-260000;82 
0-0-9-262000;55 
0-0-9-264000;3 
0-0-9-266000;-44 
0-0-9-268000;-22 
0-0-9-270000;-21 
0-0-9-272000;9 
0-0-9-274000;52 
0-0-9-276000;102 
0-0-9-278000;97 
0-0-9-281000;102 
0-0-9-283000;41 
0-0-9-285000;5 
0-0-9-287000;-39 
0-0-9-289000;-45 
0-0-9-291000;-16 
0-0-9-292000;27 
0-0-9-294000;40 
0-0-9-296000;101 
0-0-9-298000;104 
0-0-9-300000;82 
0-0-9-302000;39 
0-0-9-304000;-31 
0-0-9-306000;-23 
0-0-9-308000;-56 
0-0-9-310000;2 
0-0-9-312000;-5 
0-0-9-315000;39 
0-0-9-317000;101 
0-0-9-319000;92 
0-0-9-321000;66 
0-0-9-323000;37 
0-0-9-325000;-38 
0-0-9-327000;-49 
0-0-9-329000;-37 
0-0-9-331000;-16 
0-0-9-333000;2 
0-0-9-334000;41 
0-0-9-336000;88 
0-0-9-338000;108 
0-0-9-340000;63 
0-0-9-342000;33 
0-0-9-344000;-28 
0-0-9-346000;-29 
0-0-9-349000;-22 
0-0-9-351000;-33 
0-0-9-353000;15 
0-0-9-355000;59 
0-0-9-357000;100 
0-0-9-359000;111 
0-0-9-361000;79 
0-0-9-363000;83 
0-0-9-365000;-24 
0-0-9-367000;-24 
0-0-9-369000;-38 
0-0-9-371000;-16 
0-0-9-373000;6 
0-0-9-374000;64 
0-0-9-376000;120 
0-0-9-378000;78 
0-0-9-380000;76 
0-0-9-383000;32 
0-0-9-385000;-31 
0-0-9-387000;-16 
0-0-9-389000;-56 
0-0-9-391000;-21 
0-0-9-393000;37 
0-0-9-395000;66 
0-0-9-397000;97 
0-0-9-399000;101 
0-0-9-401000;67 
0-0-9-403000;27 
0-0-9-405000;-33 
0-0-9-407000;-27 
0-0-9-409000;-42 
0-0-9-411000;-6 
0-0-9-413000;31 
0-0-9-415000;79 
0-0-9-417000;78 
0-0-9-419000;110 
0-0-9-421000;70 
0-0-9-423000;31 
0-0-9-433000;25 
0-0-9-435000;57 
0-0-9-437000;89 
0-0-9-441000;43 
0-0-9-443000;-46 
0-0-9-445000;-87 
0-0-9-447000;-133 
0-0-9-449000;-146 
0-0-9-452000;-164 
0-0-9-454000;-113 
0-0-9-456000;-128 
0-0-9-458000;-91 
0-0-9-459000;-72 
0-0-9-461000;-116 
0-0-9-463000;-166 
0-0-9-465000;-212 
0-0-9-467000;-178 
0-0-9-469000;-154 
0-0-9-471000;-72 
0-0-9-473000;-11 
0-0-9-475000;67 
0-0-9-477000;174 
0-0-9-479000;176 
0-0-9-481000;119 
0-0-9-483000;87 
0-0-9-485000;42 
0-0-9-488000;23 
0-0-9-490000;22 
0-0-9-492000;46 
0-0-9-494000;63 
0-0-9-496000;117 
0-0-9-498000;128 
0-0-9-499000;148 
0-0-9-501000;101 
0-0-9-503000;46 
0-0-9-505000;10 
0-0-9-507000;6 
0-0-9-509000;15 
0-0-9-511000;33 
0-0-9-513000;85 
0-0-9-515000;116 
0-0-9-517000;151 
0-0-9-519000;142 
0-0-9-522000;91 
0-0-9-524000;38 
0-0-9-526000;20 
0-0-9-528000;-19 
0-0-9-530000;8 
0-0-9-532000;31 
0-0-9-534000;76 
0-0-9-536000;113 
0-0-9-538000;135 
0-0-9-540000;109 
0-0-9-541000;101 
0-0-9-543000;22 
0-0-9-545000;14 
0-0-9-547000;-20 
0-0-9-549000;-7 
0-0-9-551000;29 
0-0-9-553000;64 
0-0-9-556000;90 
0-0-9-558000;126 
0-0-9-560000;117 
0-0-9-562000;93 
0-0-9-564000;35 
0-0-9-566000;6 
0-0-9-568000;-30 
0-0-9-570000;-2 
0-0-9-572000;29 
0-0-9-574000;50 
0-0-9-576000;89 
0-0-9-578000;124 
0-0-9-580000;106 
0-0-9-582000;75 
0-0-9-583000;13 
0-0-9-585000;-22 
0-0-9-587000;-52 
0-0-9-590000;-14 
0-0-9-592000;9 
0-0-9-594000;30 
0-0-9-596000;66 
0-0-9-598000;116 
0-0-9-600000;95 
0-0-9-602000;64 
0-0-9-604000;-21 
0-0-9-606000;-10 
0-0-9-608000;-38 
0-0-9-610000;13 
0-0-9-612000;-11 
0-0-9-614000;52 
0-0-9-616000;74 
0-0-9-618000;140 
0-0-9-620000;77 
0-0-9-622000;66 
0-0-9-624000;-1 
0-0-9-626000;-21 
0-0-9-628000;-25 
0-0-9-630000;5 
0-0-9-632000;-3 
0-0-9-634000;59 
0-0-9-646000;-41 
0-0-9-648000;-32 
0-0-9-650000;-35 
0-0-9-652000;14 
0-0-9-654000;37 
0-0-9-656000;101 
0-0-9-658000;94 
0-0-9-661000;89 
0-0-9-663000;41 
0-0-9-665000;5 
0-0-9-666000;-28 
0-0-9-668000;-52 
0-0-9-670000;-4 
0-0-9-672000;-1 
0-0-9-674000;52 
0-0-9-676000;89 
0-0-9-678000;104 
0-0-9-680000;74 
0-0-9-682000;56 
0-0-9-684000;-12 
0-0-9-686000;-37 
0-0-9-688000;-52 
0-0-9-690000;-20 
0-0-9-692000;-7 
0-0-9-695000;62 
0-0-9-697000;100 
0-0-9-699000;101 
0-0-9-701000;88 
0-0-9-703000;59 
0-0-9-705000;-15 
0-0-9-707000;-18 
0-0-9-708000;-27 
0-0-9-710000;-1 
0-0-9-712000;20 
0-0-9-714000;70 
0-0-9-716000;92 
0-0-9-718000;124 
0-0-9-720000;89 
0-0-9-722000;49 
0-0-9-724000;-22 
0-0-9-726000;-12 
0-0-9-729000;-26 
0-0-9-731000;1 
0-0-9-733000;35 
0-0-9-735000;70 
0-0-9-737000;99 
0-0-9-739000;135 
0-0-9-741000;107 
0-0-9-743000;64 
0-0-9-745000;-2 
0-0-9-747000;-14 
0-0-9-749000;-3 
0-0-9-750000;-13 
0-0-9-752000;33 
0-0-9-754000;65 
0-0-9-756000;112 
0-0-9-758000;116 
0-0-9-760000;115 
0-0-9-763000;22 
0-0-9-765000;8 
0-0-9-767000;-25 
0-0-9-769000;4 
0-0-9-771000;3 
0-0-9-773000;40 
0-0-9-775000;65 
0-0-9-777000;113 
0-0-9-779000;116 
0-0-9-781000;95 
0-0-9-783000;57 
0-0-9-785000;-10 
0-0-9-787000;4 
0-0-9-789000;-35 
0-0-9-791000;12 
0-0-9-792000;10 
0-0-9-794000;78 
0-0-9-797000;74 
0-0-9-799000;115 
0-0-9-801000;67 
0-0-9-803000;30 
0-0-9-805000;6 
0-0-9-807000;-14 
0-0-9-809000;-25 
0-0-9-811000;-7 
0-0-9-813000;35 
0-0-9-815000;52 
0-0-9-817000;103 
0-0-9-819000;103 
0-0-9-821000;89 
0-0-9-823000;20 
0-0-9-825000;15 
0-0-9-827000;-34 
0-0-9-829000;-10 
0-0-9-832000;4 
0-0-9-833000;48 
0-0-9-835000;58 
0-0-9-837000;107 
0-0-9-839000;103 
0-0-9-841000;85 
0-0-9-843000;37 
0-0-9-845000;-26 
0-0-9-855000;53 
0-0-9-857000;99 
0-0-9-859000;117 
0-0-9-861000;89 
0-0-9-865000;-9 
0-0-9-868000;-38 
0-0-9-870000;-8 
0-0-9-872000;-18 
0-0-9-874000;36 
0-0-9-875000;62 
0-0-9-877000;118 
0-0-9-879000;102 
0-0-9-881000;81 
0-0-9-883000;16 
0-0-9-885000;6 
0-0-9-887000;-33 
0-0-9-889000;-6 
0-0-9-891000;11 
0-0-9-893000;27 
0-0-9-895000;81 
0-0-9-897000;108 
0-0-9-899000;137 
0-0-9-902000;52 
0-0-9-904000;36 
0-0-9-906000;-16 
0-0-9-908000;-23 
0-0-9-910000;-1 
0-0-9-912000;-9 
0-0-9-914000;51 
0-0-9-916000;86 
0-0-9-917000;134 
0-0-9-919000;104 
0-0-9-921000;52 
0-0-9-923000;36 
0-0-9-925000;-17 
0-0-9-927000;-25 
0-0-9-929000;-24 
0-0-9-931000;34 
0-0-9-933000;58 
0-0-9-936000;75 
0-0-9-938000;139 
0-0-9-940000;85 
0-0-9-942000;77 
0-0-9-944000;28 
0-0-9-946000;-40 
0-0-9-948000;-44 
0-0-9-950000;-23 
0-0-9-952000;-3 
0-0-9-954000;50 
0-0-9-956000;93 
0-0-9-958000;129 
0-0-9-959000;106 
0-0-9-961000;81 
0-0-9-963000;29 
0-0-9-965000;-24 
0-0-9-967000;-9 
0-0-9-970000;-18 
0-0-9-972000;2 
0-0-9-974000;40 
0-0-9-976000;43 
0-0-9-978000;107 
0-0-9-980000;100 
0-0-9-982000;73 
0-0-9-984000;32 
0-0-9-986000;-29 
0-0-9-988000;-57 
0-0-9-990000;-53 
0-0-9-992000;-23 
0-0-9-994000;12 
0-0-9-996000;68 
0-0-9-998000;133 
0-0-9-999000;132 
